No;Kode Dealer;Nama Dealer;Kode Main Dealer
539;11426;ANUGERAH HTML MAKMUR;H2Z
540;6805;VIRYA MOTOR;H2Z
541;18683;WIJAYA ABADI;E20
542;18494;PATRIA ANUGRAH SENTOSA;E20
543;9920;MIRAH MOTOR 2;J10
544;15600;SENTRA ARMADA MOTOR;J10
545;6948;HERO MOTOR;J10
546;1628;SETIA PUSAKA MOTOR;J10
547;18616;SAFIRA MOTOR;J10
548;15684;MULYA MOTOR;C3Z
549;2275;KENDAL SERVIS;C3Z
550;15890;TUNAS DWIPA MATRA;H2Z
551;2125;CENTRAL SERVIS;C3Z
552;9079;SEPAKAT SERVIS;B10
553;13026;AVATAR OTO PERKASA 2;D3Z
554;9255;EMPAT BERSAUDARA;B10
555;15295;PT CIPTA USAHA NUSANTARA;M2Z
556;9674;LARIS MOTOR;C10
557;15598;HAJI AS MOTOR;T10
558;1754;TRIJAYA;M2Z
559;2550;HARTANA 2;J10
560;1322;BAMBU KUNING;J10
561;10658;CV. BINTANG FIRDAUS MOTOR;J10
562;6783;SINAR REMBULAN 2;J10
563;17919;SUMJAYA MOTOR;J10
564;12080;HARMONI MOTOR;V2Z
565;15047;UD. HM. MOTOR;W01
566;16404;NUGRAHA CIPTA PERKASA;I3Z
567;1058;SEMANGAT;I3Z
568;917;ANEKA MOTOR II;I3Z
569;1332;PT REJEKI INDAH ABADI SEJAHTERA;I3Z
570;16370;DAYA ANUGRAH MANDIRI;J10
571;2608;CV. PON SERVICE;B3Z
572;7557;SEKEDANG SERVICE II;B3Z
573;17947;CV. DANADIPA AUTO GARAGE;M2Z
574;1056;KOKO JAYA PRIMA,PT;W01
575;15369;IMPRESSA MOTOR II;M2Z
576;5399;SINAR SENTOSA PRIMATAMA WAHIDIN;E20
577;14038;PAHALA MOTOR II;M3Z
578;2612;BAYU PUTRA MOTOR;M2Z
579;12285;PUTRA MANDALA;M2Z
580;13033;PRATAMA MOTOR;M2Z
581;6750;MENARA AGUNG;C10
582;12743;UD. PRODIASA;J10
583;13080;MITRA KRIDA PERKASA;D3Z
584;7019;TIO MOTOR;J10
585;18567;PT KRIDA DINAMIK AUTONUSA;N02
586;16381;UD SYABIL JAYA MOTOR;N02
587;15185;UD. SINAR JAYA MOTOR;N02
588;12013;UD MANDIRI MOTOR 2;N02
589;362;JUDHA MOTOR;L01
590;10125;ARBI MOTOR;N02
591;10039;UD. DEDI MOTOR;N02
592;7902;UD. PUTRA UTAMA MOTOR;N02
593;13425;CENDRAWASIH MOTOR 3;Z11
594;14024;BINTANG TIMUR MOTOR 2;Z11
595;10496;CV RANGGA PRIMA JASA MOTOR;L01
596;2782;CIRANJANG MOTOR;J10
597;2645;TOKO SINAR MOTOR;W01
598;1212;CV BUANA SARI PUTRA;K0Z
599;1272;TARUNA MOTOR SPORT;K0Z
600;1414;UD. PRIMA JAYA;K0Z
601;9880;CV. BINA PUTRA;K0Z
602;17320;WAHYU BUANA;K0Z
603;718;PT ASA PARIS;N01
604;9598;KOPERASI HTML;I3Z
605;6828;WIRAWAN MOTOR;R4Z
606;1013;MOTOR CAHAYA ABADI;K0Z
607;17392;WIJAYA UTAMA MANDIRI;M2Z
608;18792;SENTOSA ABADI MOTOR;W01
609;976;HARAPAN SERVIS;B10
610;15515;AHASS BERKAT;M2Z
611;745;UTAMA MOTOR;U10
612;11275;TITANIUM 2;M2Z
613;18659;CV WAHYU ABADI MOTOR ;M2Z
614;181;NUSANTARA MOTOR;M2Z
615;17835;BES MOTOR CIKUPA;I3Z
